,Unnamed: 0,journalname,pmid,text,response
111,5609,Archives of otolaryngology--head & neck surgery,15837897,bioadjuvant interferon alfaa isotretinoin vitamin e locally squamous head neck longterm followup longterm combination isotretinoin interferon alfaa vitamin e locally squamous head neck tertiary care academic medical centers fortyfive entered iv squamous head neck surgical resection radiation bioadjuvant chemopreventive previously month followup combination isotretinoin interferon alfaa vitamin e bioadjuvant therapy definitive therapy completed excluded development second main measure longerterm month followup bioadjuvant combination highly preventing second role therapy squamous head neck investigated protocol died nine experienced progressive second promyelocytic occurred followup aerodigestive second occurred progressionfree percentages better historical squamous head neck approximately antineoplastic squamous chemotherapy adjuvant drug therapy combination head neck interferon alpha interferonalpha isotretinoin second recombinant proteins vitamin e antineoplastic interferon alpha interferonalpha recombinant proteins vitamin e isotretinoin,1
117,5651,"Archives of surgery (Chicago, Ill. : 1960)",16490895,gum chewing reduces ileus elective open sigmoid colectomy feelings hunger flatus bowel movement length hospital stay complications gum chewing speeds recovery elective open sigmoid resection stimulating bowel motility gum chewing inexpensive helpful adjunct care colectomy groups gumchewing group group gumchewing group chewed sugarless gum times daily hour discharge demographics intraoperative care equivalent groups gumchewing tolerated gum passage flatus occurred hour gumchewing group hour group bowel movement occurred hour gumchewing group hour group feelings hunger felt hour gumchewing group hour group major complications either group length hospital stay shorter gumchewing group group thirtyfour undergoing elective open sigmoid resections recurrent diverticulitis communitybased teaching hospital gum chewing elective open colon resection stimulate bowel motility decrease duration ileus chewing gum colectomy followup gastrointestinal motility ileus complications sigmoid diseases chewing gum,1
125,5893,JAMA,12851275,phytoestrogen supplements hot flashes isoflavone clover extract ice doubleblind placebocontrolled menopausal experiencing least hot flashes week november march us medical centers recently postmenopausal sd since menopause experiencing hot flashes excluded vegetarians consumed soy products week took medications affecting isoflavone absorption although provides biological promensil neither supplement clinically important hot flashes symptoms menopause participants completed week protocol reductions daily hot flash count similar promensil rimostil groups comparison group participants promensil group rimostil group reduced hot flashes rapidly qualityoflife improvements comparable groups measure change frequency hot flashes measured participant daily diaries secondary measures changes life week runin participants randomly assigned promensil isoflavones rimostil isoflavones identical followedup demonstrating risk cardiovascular hormone replacement therapy interest therapies menopausal symptoms dietary supplements containing isoflavones widely alternatives hormonal therapies hot flashes paucity supporting efficacy compare efficacy dietary supplements derived red clover symptomatic menopausal dietary supplements doubleblind method estrogens nonsteroidal hot flashes isoflavones menopause phytoestrogens plant extracts plant preparations postmenopause life trifolium estrogens nonsteroidal isoflavones phytoestrogens plant extracts plant preparations,1
134,5928,JAMA,16467233,lowfat dietary pattern risk health initiative dietary modification health initiative dietary modification postmenopausal recruited centers throughout united states invasive incident invasive occurred followup sd intervention group participants reduced percentage energy fat comparison group groups mostly maintained statistically increases vegetable fruit grain servings made despite dietary changes intervention reduced risk invasive followup period invasive intervention group comparison group hazard secondary analyses suggested potential interactions aspirin combined estrogenprogestin examination although protocol defined comparable intervention comparison groups similar seen analyses adjusting adherence intervention lowfat eating pattern risk postmenopausal observational polyp conclusive regarding lowfat dietary pattern risk necessitating prevention lowfat dietary pattern intervention reduce risk postmenopausal followup participants randomly assigned dietary modification intervention comparison group intensive behavioral modification program aimed motivate support reductions dietary fat increase consumption vegetables fruits increase grain servings group sessions selfmonitoring techniques tailored targeted strategies comparison group continued usual eating pattern adenoma aspirin colonic polyps diet fatrestricted estrogen replacement therapy followup likelihood functions postmenopause prevention proportional hazards models risk risk aspirin,1
137,5936,JAMA,17635889,influence diet high vegetables fruit fiber fat following healthy eating living whel clinicaltrialsgov survivors adoption diet high vegetables fruit fiber fat reduce additional mortality followup period lacking dietary pattern high vegetables fruit fiber fat influence assess whether major increase vegetable fruit fiber intake decrease dietary fat intake reduces risk recurrent new allcause mortality previously multiinstitutional dietary change previously old diagnosis enrolled followed june intervention group randomly assigned receive telephone counseling program supplemented cooking classes newsletters promoted daily targets vegetable servings oz vegetable juice fruit servings fiber energy intake fat comparison group provided print materials describing aday dietary guidelines invasive event new death cause comparable dietary patterns conservative imputation intervention group achieved maintained following statistically differences comparison group servings vegetables fruit fiber energy intake fat plasma carotenoid concentrations validated changes fruit vegetable intake throughout groups similar care followup intervention group comparison group experienced invasive event adjusted hazard intervention group comparison group died adjusted hazard interactions diet group demographics characteristics original dietary pattern diet diet fatrestricted diet mediterranean dietary fiber feeding behavior fruit vegetables,1
352,9605,Cancer,15139072,psychological adjustment sleep tibetan yoga intervention research suggests stressreduction programs tailored setting help cope improve life yoga ancient eastern science incorporates stressreduction techniques include regulated breathing visual imagery meditation various postures authors examined tibetan yoga ty practices tsa trul khor incorporate breathing visualization mindfulness techniques lowimpact postures eighty nine percent ty participants completed least yoga sessions completed least sessions ty group sleep disturbance scores followup waitlist group better subjective sleep faster sleep latency longer sleep duration less sleep medications differences groups terms intrusion avoidance state anxiety depression fatigue participation suggested ty program feasible program improves sleeprelated differences groups thirtynine undergoing concluded within past assigned ty group waitlist group ty group participated weekly yoga sessions waitlist group free participate ty program month followup assessment adaptation psychological life sleep stress psychological tibet yoga,1
392,9714,Cancer,15912493,evaluation shark cartilage north central group shark cartilage popular complementary alternative medicine intervention basis popularity claim sharks rarely get high proportion cartilage body equivocal therefore look impact shark cartilage goal determine whether shark cartilage product improved getting care secondary research goals toxicities tolerability life shark cartilage product twoarm placebocontrolled doubleblind incurable good performance organ function could receiving chemotherapy receive care randomly selected receive either shark cartilage product identicalappearing smelling times evaluable analyzed receiving care shark cartilage product care likewise suggestion improvement life receiving shark cartilage receiving unable demonstrate suggestion efficacy shark cartilage product animals cartilage complementary therapies doubleblind method placebos life sharks tissue extracts placebos tissue extracts,1
411,9775,Cancer,16294343,pilot intervention enhance sexual rehabilitation couples localized participants month survivors localized radical prostatectomy radiation therapy married committed relationship couples attend sessions counseling together man attend alone groups partners completed behavioral homework sessions education sexual function options treat ed sexual communication stimulation skills standardized questionnaires posttreatment month month followup sexual function marital adjustment psychologic distress utilization treatments ed brief pilot counseling intervention demonstrated gains sexual function satisfaction utilization treatments ed modifications needed future reduce premature termination improve longterm maintenance gains majority survivors experience enduring sexual difficulties distress definitive counseling intervention aimed improving sexual satisfaction increasing successful utilization medical erectile dysfunction ed developed pilottested survivor partner fiftyone couples completed intervention attendance partner affect participants completing intervention demonstrated improvement distress global sexual function global sexual function month followup regression toward noted month followup utilization ed treatments entry month followup couples therapy erectile dysfunction followup staging education topic satisfaction pilot projects probability prostatectomy prostatic life radiotherapy highenergy risk assessment sex counseling,1
537,10083,Cancer,18286527,matched casecontrol frozen sock prevent docetaxelinduced onycholysis cutaneous foot onycholysis occurs approximately docetaxel efficacy elastogel frozen sock fs investigated prevention docetaxelinduced nail skin feet receiving docetaxel mgm every eligible matched casecontrol wore fs right foot unprotected left foot acted nail skin toxicities national institute common criteria version sample wilcoxon matchedpairs rank test adjusted tied values fifty consecutive april january nail fsprotected foot foot skin fsprotected feet times occurrence differ groups experienced discomfort cold intolerance cold therapy fs reduced docetaxelinduced foot nail previously demonstrated frozen gloves hands antineoplastic phytogenic casecontrol cryotherapy docetaxel evaluation topic followup foot diseases freezing nail diseases invasiveness onycholysis taxoids antineoplastic phytogenic taxoids docetaxel,1
720,13529,Medical and pediatric oncology,12116072,multicomponent behavioral intervention promote health protective behaviors childhood survivors protect improved cure childhood produced growing population survivors risk late toxicities chemotherapy radiation therapy healthy behaviors modify risks initiated determine multicomponent behavioral intervention could induce change childhood health knowledge health perceptions practice healthprotective behaviors enrolled evaluable points groups similar regards diagnosis gender race change measures tt different groups twosample pooled test additional exploratory analyses indicated gender knowledge survivors intervention group scores addition choose certain individual health goals breasttesticular selfexamination improved practice health behavior addition exploratory gender intervention noted females exhibiting greater improvement knowledge scores males although multibehavioral educational intervention induce change health knowledge perceptions behaviors childhood survivors group whole gender differences health goal differences findings suggest future interventions tailored reflect gender differences nature health goal assessment adolescent survivors attending longterm followup clinic receive followup care care educational intervention measures obtained randomization repeated later annual checkup adaptation psychological adolescent adolescent behavior diseasefree health behavior health knowledge attitudes practice health promotion life style longitudinal education topic sex,1
768,14581,Psycho-oncology,16991107,impact providing audiotapes consultations men multisite consultation audiotapes rated highly men audiotapes help enhance perception provided critical treatmentrelated information receiving consultation audiotape provided information general information alternatives side particular receive audiotape audiotape benefit satisfaction communication mood state life postconsultation affected choice receiving audiotape rated audiotape intervention positively average score participants men newly diagnosed radiation oncologists centers canada block consultation groups care controlnot audiotaped audiotapedno audiotape given audiotapedpatient given audiotape audiotapedpatient offered choice receiving audiotape declined accepted measured postconsultation perceived degree information provision audiotape satisfaction communication satisfaction oncologist mood state cancerspecific life purpose investigation systematically examine efficacy providing men audiotape consultation adaptation psychological canada communication participation satisfaction physicianpatient relations prostatic life radiation oncology referral consultation tape recording,1
770,14594,Psycho-oncology,17575560,increasing skills eliciting responding emotional cues evaluation communication skills training program psychological morbidity common often undetected untreated developed communication skills training cst program targeting issue impact doctor behaviour thirty oncologists six teaching hospitals six australian cities participated cst intensive facetoface workshop incorporating presentation principles dvd modelling ideal behaviour roleplay practice followed h monthly videoconferences incorporating roleplay doctorgenerated scenarios doctors receive cst simulated interviews videotaped coded cst later doctors completed questionnaires assessing stress burnout points doctors intervention group displayed creating environment fewer blocking behaviours followups differences reach statistical significance intervention doctors valued training highly report substantial reductions stress burnout short training programme demonstrated aspects doctor behaviour videoconferencing short training course strategy delivering cst burnout professional communication cues education expressed emotion medical oncology simulation physicianpatient relations surveys questionnaires,1
771,14997,Psycho-oncology,12203747,initiated follow paper reports randomised assessing types outpatient follow previously remission clinic follow initiated follow latter method involved giving written information signs symptoms instructing telephone care nurse encountered problems groups terms cancerspecific life psychological morbidity recruitment satisfaction follow details regarding contact healthcare professionals collected major differences life psychological morbidity groups although clinic group reassurance checked advantages whereas initiated follow group convenience advantage initiated follow potential alternative clinic follow group appears could enable cost saving made attitude health disclosure followup satisfaction life surveys questionnaires,1
774,15010,Psycho-oncology,14745744,psychoeducational group intervention wives men week psychoeducational group intervention distress coping personal growth marital communication wives men diagnosed although psychoeducational intervention result changes psychological distress improvements adaptive coping indicators psychological growth utility group interventions spouses men discussed differences regard general distress cancerspecific distress noted comparison group participants receiving intervention perceived spouse made contributions lives gains reappraisal coping reductions denial coping sixty wives completed measures prior random assignment either psychoeducational group intervention notreatment group month completion group activities daily living adaptation psychological communication denial psychology marriage staging assessment health care personality inventory prostatic psychotherapy group social support spouses,1
791,15083,The Prostate,16114063,plasma phytoestrogen concentrations oral phytoestogen supplementation phytoestrogen concentrations detectable plasma concentration equol oral supplementation phytoestrogens induced statistically fold increase tissue concentrations phytoestrogens genistein daidzein supplemented demonstrated tissue genistein daidzein concentrations twofold plasma interestingly even though group receive phytoestrogen challenge demonstrated twofold tissue genistein daidzein concentrations plasma values suggesting concentrate available phytoestrogens addition supplementation supplemented detectable plasma equol concentration phytoestrogens suggested reduce risk cap exists oral phytoestrogen supplementation influences phytoestrogen concentrations tissue conclude tissue concentrate genistein daidzein elevation intraprostatic genistein daidzein concentrations achieved shortterm dietary phytoestrogen supplementation forty men cap assigned radical prostatectomy clover phytoestrogens daily week period operation phytoestrogens measured plasma tissue timeresolved fluoroimmunoassay trfia administration oral dietary supplements genistein isoflavones phytoestrogens phytotherapy placebos prostatectomy prostatic isoflavones phytoestrogens placebos daidzein genistein,1
900,15579,Psycho-oncology,9205970,psychotherapeutic intervention psychosocial counseling studied longer amenable regular medical offered session individual experientialexistential counseling sessions lasting addition participated fortnightly group counseling meetings five evaluable growth became stationary immediately following therapy stationary period last natural killer activity selfreported loneliness depression purpose life locus change pre post intervention attitude depression immunity cellular internalexternal killer natural loneliness longitudinal medical futility psychotherapy,1
1089,16186,Preventive medicine,11071838,persistent increase sun protection community reducing sun exposure childhood prevent skin later life sun protection immediately following implementation sunsafe multicomponent communitybased intervention delivered schools care centers care offices beach recreation areas whether sun protection would remain preintervention following summer unknown intervention communities proportion children sun protection increases similar magnitude shortterm increases previously new hampshire towns addressed protective clothing shade sunscreen freshwater beach areas intervention provided initially march brief project followup contact provided schools care centers beaches care offices march restock intervention materials answer questions observations children june august observations made prior intervention june august intervention towns proportion children least sun protection proportion towns increase due sunscreen protective clothing shade caregivers children intervention towns receiving sun protection information school health care sources town caregivers child child care centers child preschool health behavior health education new hampshire protective clothing radiation protection schools sunlight sunscreening sunscreening,1
1697,21681,European journal of nutrition,15309460,longitudinal changes body weight body composition previously consuming highvegetable fruit fiber lowfat diet identify changes body weight anthropometric measures body composition period subsample survivors participating dietary intervention targeting intake vegetables fruit fiber decreased dietary fat intake excess adiposity shown risk plantbased eating pattern hypothesized protective whether plantbased diet energy goals result weight loss changes body composition diagnosed fully explored dietary intervention efforts resulted changes diet toward increase plant foods decrease dietary fat changes weight whr bmi body composition different group assignment interventions promote plantbased diet energy restriction appear promote changes body weight body composition diagnosed adequately examine role energy restriction reducing obesityassociated future interventions include prescribed energy imbalance either reduced intake andor expenditure dietary intervention resulted sustained increase fiber fruit vegetable vegetable juice consumption intervention group subjects comparison group subjects resulted reduction body weight body fat intervention group subjects comparison group subjects remained stable subsequent measurements differences body weight bmi whr body composition group changes measures demonstrated either group dietary intervention longitudinal changes intakes body weight waisthip whr body mass index bmi body composition group fiftytwo previously iiia arizona site healthy eating living dietary intervention aimed eight servings fruit vegetables fiber energy fat daily intake vegetable juice comparison group advised follow general dietary guidelines prevention adolescent arizona body composition body mass index body weight ductal diet fatrestricted dietary fiber fruit vegetables waisthip,1
1758,22564,Journal of cancer research and clinical oncology,29943097,evaluation sensorimotor exercise physical psychological parameters undergoing neurotoxic chemotherapy future focus correlation posturometry findings subjective qol longtermdevelopment cipn aim randomizedcontrolled rct ig intervention group cg group determine whether sensorimotor exercises physical psychological parameters undergoing neurotoxic chemotherapy paclitaxel result able show improvements postural stability monopedal stance left leg right leg bipedal stance ig cg posturography correlate presentation intervention group scoring better fullerton balance scale moderate strength training successfully prevented strength loss ig remarkable cg concerning psychological parameters via eortc mfiquestionnaires improvements common industrialized countries neurotoxic chemotherapy drugs known harm peripheral nerves cause chemotherapyinduced peripheral neuropathy cipn cipn common paclitaxel chemotherapy remain present long termination chemotherapy thus reduces life qol chemotherapy onwards impose danger survivors due risk falling fallrelated injuries br bipedal stance cipn chair rising test chemotherapy chemotherapyinduced peripheral polyneuropathy eortc european organization research exercise intervention fab fall risk fullterton balance scale hand dynamometer extremity mfi mammacarcinoma monopedal stance multidimensional fatigue inventory nerves neuropathy neurotoxic paclitaxel postural instability posturography posturometry qlqc qol life risk falling sensorimotor exercise strength survivors sway area taxol training upper extremity antineoplastic casecontrol exercise paclitaxel peripheral nervous system diseases life sensorimotor cortex survivors young antineoplastic paclitaxel,1
1799,23207,Supportive care in cancer : official journal of the Multinational Association of Supportive Care in Cancer,17039380,laying hands improves wellbeing average score values healer actor regard secondary endpoint comparison limited due major protocol violations healer unblinded run quit completed actor descriptive explorative impact laying hands improvement symptoms determine whether impact laying hands wellbeing efficient person selfdeclared healing powers actor mimicking healer close detail laying hands resulted improvement cancertherapyassociated symptoms magnitude improvement obtained similar whether selfdeclaredhealer actorprovided registered participate singleblind efficacy laying hands either healer actor group consisted scheduled receive times week measured wellbeing scale average score wellbeing scale defined secondary endpoint life singleblind method surveys questionnaires therapeutic touch,1
